Season,PPFD,n_pts,Growing_days,Yield_g,A,k,ti,r2,DLI,Avg_Temp,Avg_VPD,Avg_CO2,EC
MS40,180,3,18,367.4,6.4819717447558585,0.14258961391985175,13.409584441543728,1.0,10.368,19.82,0.627,623.9,1.88
MS48,180,4,22,555.5,1.9099968525100777,0.304230774082443,12.507477526425163,0.9861577940158051,10.368,21.62,0.7833,658.7,1.766
MS49,180,4,21,625.7,10.191171488788815,0.0967768539811337,22.66893941621484,0.9946890362802167,10.368,21.65,0.8148,653.1,1.917
MS50,180,4,22,958.3,10.62170283341396,0.08100415082644775,24.18217986915135,0.999387661510339,10.368,21.58,0.8217,638.3,2.027
MS51,180,4,22,981.1,48.806929827409064,0.04946283360121774,39.9999999998409,0.9801715660774023,10.368,21.29,0.7767,640.1,2.036
MS52,180,4,23,923.4,6.882634705061777,0.1267372123008818,16.256419177234655,0.9999691810596091,10.368,21.29,0.7773,643.2,2.041
MS53,180,4,23,914.4,6.711634159679993,0.12386786243864668,14.427943870021116,0.9995107448327778,10.368,21.28,0.7357,662.1,2.081
MS54,180,4,24,888.9,42.05256205282916,0.04777708930064416,39.88411655686878,0.9996780015751643,10.368,21.05,0.697,658.2,2.137
MS55,180,4,23,793.6,6.691580189485829,0.11430195561174572,16.62201564307741,0.9997486075516708,10.368,20.91,0.685,640.3,2.206
MS56,180,4,18,1037.1,5.558554276183318,0.11761554904631175,15.729599633583392,0.9997557676114099,10.368,20.74,0.6613,638.2,2.257
MS57,180,3,16,827.2,5.549633687269057,0.1544387510319734,13.289815898593815,1.0,10.368,20.77,0.6676,686.9,2.232
MS58,180,3,16,883.5,5.863878203392474,0.14615928231430866,13.863362995448135,1.0,10.368,20.97,0.6737,734.3,2.198
MS59,180,3,16,630.2,3.496359912632762,0.19150944847141566,10.956500739890735,1.0,10.368,21.04,0.6604,725.9,2.152
MS60,180,3,16,564.6,4.865145449318272,0.13026812754397227,14.303327384172276,1.0,10.368,21.16,0.6716,743.7,2.208
MS61,180,3,16,949.9,13.496589181284824,0.10772585480661112,18.961169739576054,1.0,10.368,21.22,0.6816,729.7,2.239
MS62,180,3,16,941.4,6.4170413554625565,0.16058136979857396,13.342899923547455,1.0,10.368,21.23,0.6756,724.9,1.942
MS63,180,3,16,930.2,6.84925963289441,0.1667049048223578,12.67626026144785,1.0,10.368,21.11,0.6763,668.9,1.537
MS64,180,4,20,932.9,23.271424986532068,0.06182308888759195,31.16850244212905,0.9999946204420069,7.452,21.7,0.7783,638.1,2.092
MS65,180,3,20,896.0,71.67952224385338,0.052216934883037754,39.99999999999999,0.996633085571221,8.294,21.38,0.6818,680.7,2.161
MS66,180,3,16,785.4,7.101184128648645,0.13371056283139815,14.837892028205069,1.0,10.368,21.05,0.6382,649.1,2.109
MS69,180,3,17,558.2,16.920217178404776,0.07793769527596245,23.632618925637363,1.0,10.368,21.27,0.6802,663.9,1.68
MS70,180,4,19,722.9,10.860755915460318,0.06677463480370617,23.788449961155465,0.9966504620088322,9.277,21.19,0.6836,628.7,1.572
MS71,180,3,16,493.5,57.29653132063799,0.06015781600620491,34.27855787663894,1.0,10.368,21.34,0.6981,653.3,1.67
MS76,180,3,20,642.6,88.96241240613989,0.05200443052450192,39.99999999999999,0.9999668044340868,8.813,22.22,0.6966,669.5,1.679
MS77,180,4,20,602.1,8.633488184477821,0.11771154127703141,17.30091737804599,0.9988982932063865,9.072,21.79,0.6825,648.3,1.723
MS78,180,3,20,754.7,7.086675612337823,0.10686096898102555,17.107959827749607,1.0,8.618,21.01,0.665,641.7,1.735
MS79,180,3,20,579.2,99.99999999999996,0.07062571122547043,34.66321447896283,0.9841797523086684,8.748,20.42,0.6482,660.3,1.675
MS80,180,4,20,609.5,14.264647402677825,0.06663607204516382,28.75443585687602,0.9779672552525973,8.424,20.46,0.6128,678.8,1.655
MS81,180,4,20,667.2,37.055257580499855,0.04307355197711844,39.9999999999997,0.9675407299912424,8.294,20.27,0.602,673.0,1.588
MS83,180,3,17,527.0,3.78642556463149,0.16459945907323748,11.950226032776577,1.0,10.368,20.25,0.633,680.2,1.423
MS84,180,3,18,659.3,3.0593817262879903,0.20597886882356456,10.036595230416895,1.0,10.368,20.33,0.6382,689.9,1.543
MS85,180,3,17,599.3,4.639457065461522,0.14204392547130204,13.44442529947449,1.0,10.368,20.17,0.6566,708.2,1.721
MS86,180,3,17,687.4,7.279235893643011,0.12060298172020778,15.269062672817602,1.0,10.368,19.83,0.68,680.3,1.778
MS87,180,3,18,655.0,3.5396820509620626,0.22284647744365985,9.541503089841562,1.0,10.368,19.49,0.6676,689.3,1.908
MS88,180,3,17,755.4,99.99999999999952,0.05575339357494368,38.14640073822031,0.9933530492036861,10.368,19.2,0.6586,686.8,2.038
MS89,180,4,20,1156.8,8.477121306608804,0.1334905471613295,15.550910321113244,0.9996016206344333,8.294,19.03,0.6406,716.3,2.137
MS90,180,3,18,607.4,2.696970016576077,0.25895649244602337,8.049643813645684,1.0,10.368,19.15,0.6346,722.9,2.077
MS91,180,3,18,572.2,2.653054486690164,0.22603209849818223,9.193440611374157,1.0,10.368,19.23,0.6446,723.0,2.04
MS92,310,3,18,1130.3,4.479762083504254,0.16443378383512963,11.908036753039715,1.0,17.856,19.19,0.6437,702.8,2.086
MS93,180,3,18,431.3,3.0712618252491692,0.1775108484029159,10.198754267749656,1.0,10.368,19.2,0.655,714.6,2.206
MS94,180,3,18,525.6,3.1952856322693868,0.21518776924805766,10.385825996956545,1.0,10.368,19.25,0.6186,677.4,2.173
MS95,310,3,18,928.8,5.470782807033889,0.18507907976290575,11.262013500993154,1.0,17.856,19.3,0.6134,672.2,2.14
MS96,180,3,18,387.2,3.546236924889444,0.1497287711806058,11.850626576002483,1.0,10.368,18.87,0.6125,631.5,2.135
MS98,310,3,18,1766.1,99.99999999999999,0.08886230440772405,28.07832599714736,0.9983972371180105,16.182,19.97,0.7913,652.1,2.217
MS99,310,3,18,2220.8,11.308115855419707,0.1590998405466139,12.798814971452963,1.0,17.856,20.37,0.8085,721.2,1.925
MS100,310,3,18,2120.5,7.952825329601792,0.18805215565562877,11.350678342515748,1.0,16.919,20.8,0.8134,701.8,1.936
MS101,310,3,18,2381.9,9.412638991261607,0.18861797487163537,12.219302883015446,1.0,17.856,21.11,0.8852,664.1,1.665
MS102,310,3,18,2052.7,4.060191638868211,0.2793448279760225,8.464649873291759,1.0,17.856,21.23,0.9057,669.0,1.463
MS103,310,3,18,1758.1,4.645487532662577,0.3379139579405455,8.037631694073239,1.0,17.856,21.35,0.9262,654.9,1.128
MS104,310,3,17,1499.9,19.18706965367739,0.10134102237196421,18.458344685535273,1.0,17.856,21.57,0.8869,647.8,1.409
MS105,310,3,20,1575.3,5.506953301272855,0.1325883583113285,7.983649246677785,1.0,15.066,21.38,0.883,623.9,1.772
MS106,310,3,17,2280.1,15.895019954323956,0.11921767771829066,15.88885766349961,1.0,15.066,21.21,0.8105,615.6,2.319
MS107,310,3,17,1786.6,31.135490652204794,0.08758193577494489,21.98717348622124,1.0,15.066,21.09,0.8097,658.3,2.341
MS108,310,3,17,1989.2,43.686253419691106,0.07239197702718075,26.704784021570433,1.0,15.066,21.31,0.8606,672.0,2.346
MS109,310,3,17,1924.6,10.860968835172526,0.13745349115767969,14.069885919759324,1.0,15.066,21.46,0.8563,663.4,2.344
MS110,310,3,17,1584.2,3.47889531301286,0.2779503436956477,7.9467845248196145,1.0,15.066,21.81,0.9015,642.2,2.346
MS111,310,3,17,1010.5,4.579014885577832,0.18159112741263533,12.117438200341924,1.0,15.066,21.84,0.9432,671.6,2.354
MS112,310,3,17,1777.0,12.899705392372583,0.11922992782000405,16.051842020684695,1.0,15.066,21.27,0.8972,674.1,2.349
